12719,Flashback,False,en,Action|Comedy|Crime,60/80 Productions|Paramount Pictures,0,1990-02-02,108,"A hippie radical, Huey Walker has been a fugitive for decades, accused of a crime that he may not have committed. Finally apprehended, Walker is escorted to trial by uptight 20-something FBI agent John Buckner. While the two seem to be polar opposites, it turns out that Buckner may have more in common with Walker than is initially apparent, a point that is driven home when the pair faces off against a sinister small-town sheriff.",6488144
19086,Delta Force 2: The Colombian Connection,False,en,Action|Adventure,,0,1990-08-24,111,"When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.",6698361
27274,Frankenhooker,False,en,Comedy|Horror|Science Fiction,Shapiro-Glickenhaus Entertainment,2500000,1990-06-01,85,"A medical school dropout loses his fiancée in a tragic lawnmower incident, and decides to bring her back. Unfortunately, he was only able to save her head, so he goes to the red light district in the city and lures prostitutes into a hotel room so he can get parts for his girlfriend.",205068
20876,A Shock to the System,False,en,Comedy|Drama|Thriller,Brigand Films,0,1990-03-23,91,"Madison Avenue executive Graham Marshall has paid his dues. A talented and devoted worker, he has suffered through mounting bills and a nagging wife with one thing to look forward to: a well-deserved promotion. But when the promotion is given to a loud-mouthed yuppie associate, Graham unleashes his rage on an overly aggressive panhandler, who he accidently kills by pushing him into the path of an oncoming subway train. He re-thinks his problems with an entirely new solution. First, he arranges an ""accident"" for his annoying wife. Then he creates another ""mishap"" for his boss. It seems like the world is once more Graham's oyster…but a missing cigarette lighter and a prying police detective may change all that.",0
9768,Cry-Baby,False,en,Comedy|Music,Imagine Entertainment|Universal Pictures,11000000,1990-04-05,85,A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.,8266343
18311,Days of Being Wild,False,cn,Crime|Drama|Romance,Media Asia Films,0,1990-12-15,91,"The movie is set in Hong Kong and the Philippines in 1960. Yuddy, or 'York' in English (Leslie Cheung), is a playboy in Hong Kong and is well-known for stealing girls' hearts and breaking them. His first victim is Li Zhen (Maggie Cheung) who suffered emotional and mental depression as a result of Yuddy's wayward attitude. Li Zhen eventually seeks much-needed solace from a sympathetic policeman named Tide (Andy Lau). Their near-romance is often hinted at but never materialises.",141864
8428,Pump up the Volume,False,en,Drama|Music,New Line Cinema|SC Entertainment,0,1990-08-22,105,"Mark is an intelligent but shy teenager who has just moved to Arizona from the East Coast. His parents give him a short-wave radio so he can talk to his pals, but instead he sets up shop as pirate deejay Hard Harry, who becomes a hero to his peers while inspiring the wrath of the local high school principal.",11541758
11856,Air America,False,en,Action|Adventure|Comedy|Drama,Carolco Pictures|IndieProd Company Productions,0,1990-08-10,112,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.",0
18129,The Grifters,False,en,Crime|Drama,Cineplex-Odeon Films|Miramax Films,0,1990-09-14,110,"A young short-con grifter suffers both injury and the displeasure of reuniting with his criminal mother, all the while dating an unpredictable young lady.",13446769
34636,The NeverEnding Story II: The Next Chapter,False,en,Adventure|Drama|Family|Fantasy,Bavaria Film|Cinevox Filmproduktion GmbH|Dieter Geissler Filmproduktion|Warner Bros.,32000000,1990-10-25,89,"Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.",16283667
12516,Dreams,False,ja,Drama|Fantasy|Science Fiction,Warner Bros.,0,1990-05-11,119,A collection of magical tales based upon the actual dreams of director Akira Kurosawa.,0
14249,Revenge,False,en,Crime|Drama|Romance,Columbia Pictures|New World Pictures,0,1990-02-16,123,"Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",15645616
32669,The Two Jakes,False,en,Crime|Drama|Mystery,Paramount Pictures,19000000,1990-08-10,138,"This sequel to the classic Chinatown finds private detective Jake Gittes still haunted from the events of the first film. Hired by a man to investigate his wife's infidelities, Jake once again finds himself involved in a complicated plot involving murder, oil, and even some ghosts from his past.",10000000
9558,King of New York,False,en,Crime|Thriller,Carolco Pictures|Reteitalia|Seven Arts Pictures|The Rank Organisation,1000000,1990-07-18,103,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,2554476
40729,The Gate II: Trespassers,False,en,Horror,Alliance Entertainment|Epic Productions|Vision PDG,0,1990-05-24,93,It's been five years since Terry's friend Glen discovered The Gate to hell in his backyard. Glen has now moved away and Terry begins practicing rituals in Glen's old house and eventually bringing back demons through The Gate and leading to demoniac possession and near world domination.,0
28761,White Hunter Black Heart,False,en,Action|Adventure|Drama,Warner Bros.,0,1990-09-14,112,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa",0
24016,The Sheltering Sky,False,en,Adventure|Drama|Romance,Warner Bros.,25000000,1990-10-24,138,"An American couple (John Malkovich, Debra Winger) drift toward emptiness in postwar North Africa.",2075084
6488,Arachnophobia,False,en,Comedy|Horror,Amblin Entertainment|Hollywood Pictures|Tangled Web Productions,31000000,1990-08-09,103,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",53208180
26936,Boiling Point,False,en,Action|Comedy|Crime|Foreign,Bandai Visual Company|Shochiku-Fuji Company,0,1990-09-15,96,"Masaki, a baseball player and gas-station attendant, gets into trouble with the local Yakuza and goes to Okinawa to get a gun to defend himself. There he meets Uehara (Kitano), a tough gangster, who is in serious debt to the yakuza and planning revenge.",0
1662,State of Grace,False,en,Action|Crime|Drama|Thriller,Cinehaus|Orion Pictures|The Rank Organisation,0,1990-09-14,134,"Terry Noonan returns home to New York's Hells Kitchen after a ten year absence. He soon hooks up with childhood pal Jackie who is involved in the Irish mob run by his brother Frankie. Terry also rekindles an old flame with Jackie's sister Kathleen. Soon, however, Terry is torn between his loyalty to his friends and his loyalties to others.",0
40377,Psycho IV: The Beginning,False,en,Drama|Horror|Mystery|Thriller,Universal TV,0,1990-11-10,96,"Norman Bates is again released from the mental hospital he was placed in at the end of Psycho III after serving another few years and is apparently rehabiliated for the second time. Norman is now married to a young nurse named Connie and is expecting a child. However, Norman fears that the child will inherit his mental illness. Meanwhile, Fran Ambrose is a radio talk show host who is discussing the topic of matricide with guest Dr. Richmond, Norman's former psychologist. The radio station receives a call from Norman, who uses the alias ""Ed"" to tell his story.",0
27815,Basket Case 2,False,en,Horror,Shapiro-Glickenhaus Entertainment,2500000,1990-03-02,90,"Having eluded the authorities after a series of grisly murders, the pair find sanctuary at the palatial home of Granny Ruth, an eccentric philanthropist who rallies the cause of ""Unique Individuals"". But even amongst ""friends"" the pair soon find themselves having to confront their murderous past.",0
